side,window,step,count,probability
1,1,0,0,0.00000000
1,1,1,0,0.00000000
1,1,2,0,0.00000000
1,1,3,0,0.00000000
1,1,4,0,0.00000000
1,1,5,0,0.00000000
1,1,6,0,0.00000000
1,1,7,1,0.00001000
1,1,8,0,0.00000000
1,1,9,4,0.00004000
1,1,10,2,0.00002000
1,1,11,7,0.00007000
1,1,12,7,0.00007000
1,1,13,15,0.00015000
1,1,14,23,0.00023000
1,1,15,37,0.00037000
1,1,16,152,0.00152000
1,1,17,579,0.00579000
1,1,18,1147,0.01147000
1,1,19,1585,0.01585000
1,1,20,1597,0.01597000
1,1,21,1818,0.01818000
1,1,22,2080,0.02080000
1,1,23,2503,0.02503000
1,1,24,2756,0.02756000
1,1,25,3090,0.03090000
1,1,26,3259,0.03259000
1,1,27,3488,0.03488000
1,1,28,3560,0.03560000
1,1,29,3695,0.03695000
1,1,30,3878,0.03878000
1,1,31,4181,0.04181000
1,1,32,4094,0.04094000
1,1,33,4115,0.04115000
1,1,34,4499,0.04499000
1,1,35,4271,0.04271000
1,1,36,4270,0.04270000
1,1,37,4207,0.04207000
1,1,38,3957,0.03957000
1,1,39,3846,0.03846000
1,1,40,3876,0.03876000
1,1,41,3407,0.03407000
1,1,42,3468,0.03468000
1,1,43,2885,0.02885000
1,1,44,2573,0.02573000
1,2,0,0,0.00000000
1,2,1,0,0.00000000
1,2,2,0,0.00000000
1,2,3,0,0.00000000
1,2,4,0,0.00000000
1,2,5,0,0.00000000
1,2,6,2,0.00002000
1,2,7,1,0.00001000
1,2,8,4,0.00004000
1,2,9,6,0.00006000
1,2,10,17,0.00017000
1,2,11,24,0.00024000
1,2,12,57,0.00057000
1,2,13,193,0.00193000
1,2,14,414,0.00414000
1,2,15,473,0.00473000
1,2,16,471,0.00471000
1,2,17,578,0.00578000
1,2,18,931,0.00931000
1,2,19,1427,0.01427000
1,2,20,1837,0.01837000
1,2,21,2179,0.02179000
1,2,22,2495,0.02495000
1,2,23,2822,0.02822000
1,2,24,3273,0.03273000
1,2,25,3763,0.03763000
1,2,26,4015,0.04015000
1,2,27,4256,0.04256000
1,2,28,4605,0.04605000
1,2,29,4818,0.04818000
1,2,30,5056,0.05056000
1,2,31,5393,0.05393000
1,2,32,5415,0.05415000
1,2,33,5444,0.05444000
1,2,34,5496,0.05496000
1,2,35,5278,0.05278000
1,2,36,5073,0.05073000
1,2,37,4511,0.04511000
1,2,38,4050,0.04050000
1,2,39,3373,0.03373000
1,2,40,2814,0.02814000
1,2,41,2251,0.02251000
1,2,42,1748,0.01748000
1,2,43,1289,0.01289000
1,2,44,1010,0.01010000
1,3,0,0,0.00000000
1,3,1,0,0.00000000
1,3,2,3,0.00003000
1,3,3,0,0.00000000
1,3,4,0,0.00000000
1,3,5,0,0.00000000
1,3,6,2,0.00002000
1,3,7,17,0.00017000
1,3,8,29,0.00029000
1,3,9,82,0.00082000
1,3,10,243,0.00243000
1,3,11,389,0.00389000
1,3,12,562,0.00562000
1,3,13,1313,0.01313000
1,3,14,2324,0.02324000
1,3,15,2719,0.02719000
1,3,16,2647,0.02647000
1,3,17,2848,0.02848000
1,3,18,3246,0.03246000
1,3,19,3954,0.03954000
1,3,20,4452,0.04452000
1,3,21,5070,0.05070000
1,3,22,5434,0.05434000
1,3,23,5670,0.05670000
1,3,24,5606,0.05606000
1,3,25,5462,0.05462000
1,3,26,5504,0.05504000
1,3,27,5033,0.05033000
1,3,28,5014,0.05014000
1,3,29,4785,0.04785000
1,3,30,4652,0.04652000
1,3,31,4187,0.04187000
1,3,32,3798,0.03798000
1,3,33,3315,0.03315000
1,3,34,2796,0.02796000
1,3,35,2256,0.02256000
1,3,36,1768,0.01768000
1,3,37,1333,0.01333000
1,3,38,1011,0.01011000
1,3,39,658,0.00658000
1,3,40,550,0.00550000
1,3,41,343,0.00343000
1,3,42,262,0.00262000
1,3,43,193,0.00193000
