step,window,fill_count,fill_probability,fill_total,mean_window,sd_window,optional_reset_rate,forced_reset_rate
0,1,0,0.00000000,100000,5.85701000,0.45644700,0.00000000,0.00000000
0,2,3,0.00003000,100000,5.85701000,0.45644700,0.00000000,0.00000000
0,3,30,0.00030000,100000,5.85701000,0.45644700,0.00000000,0.00000000
0,4,694,0.00694000,100000,5.85701000,0.45644700,0.00000000,0.00000000
0,5,16170,0.16170000,100000,5.85701000,0.45644700,0.00000000,0.00000000
0,6,79869,0.79869000,100000,5.85701000,0.45644700,0.00000000,0.00000000
0,7,3107,0.03107000,100000,5.85701000,0.45644700,0.00000000,0.00000000
0,8,127,0.00127000,100000,5.85701000,0.45644700,0.00000000,0.00000000
1,1,0,0.00000000,98347,6.31187530,0.75641219,0.00000000,0.01653000
1,2,2,0.00002034,98347,6.31187530,0.75641219,0.00000000,0.01653000
1,3,20,0.00020336,98347,6.31187530,0.75641219,0.00000000,0.01653000
1,4,427,0.00434177,98347,6.31187530,0.75641219,0.00000000,0.01653000
1,5,9684,0.09846767,98347,6.31187530,0.75641219,0.00000000,0.01653000
1,6,53413,0.54310757,98347,6.31187530,0.75641219,0.00000000,0.01653000
1,7,28324,0.28800065,98347,6.31187530,0.75641219,0.00000000,0.01653000
1,8,6477,0.06585864,98347,6.31187530,0.75641219,0.00000000,0.01653000
2,1,0,0.00000000,93692,6.79722922,0.81289663,0.00000000,0.06308000
2,2,2,0.00002135,93692,6.79722922,0.81289663,0.00000000,0.06308000
2,3,8,0.00008539,93692,6.79722922,0.81289663,0.00000000,0.06308000
2,4,191,0.00203859,93692,6.79722922,0.81289663,0.00000000,0.06308000
2,5,4334,0.04625795,93692,6.79722922,0.81289663,0.00000000,0.06308000
2,6,28123,0.30016437,93692,6.79722922,0.81289663,0.00000000,0.06308000
2,7,42626,0.45495880,93692,6.79722922,0.81289663,0.00000000,0.06308000
2,8,18408,0.19647355,93692,6.79722922,0.81289663,0.00000000,0.06308000
3,1,0,0.00000000,87377,7.18026483,0.73733512,0.00020000,0.12603000
3,2,1,0.00001144,87377,7.18026483,0.73733512,0.00020000,0.12603000
3,3,3,0.00003433,87377,7.18026483,0.73733512,0.00020000,0.12603000
3,4,113,0.00129325,87377,7.18026483,0.73733512,0.00020000,0.12603000
3,5,1554,0.01778500,87377,7.18026483,0.73733512,0.00020000,0.12603000
3,6,11911,0.13631734,87377,7.18026483,0.73733512,0.00020000,0.12603000
3,7,42669,0.48833217,87377,7.18026483,0.73733512,0.00020000,0.12603000
3,8,31126,0.35622647,87377,7.18026483,0.73733512,0.00020000,0.12603000
